PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,ID,Blue,Green,NIR,Red,RedEdge,SAVIMASK,NDVI,GNDVI,RDVI,NLI,CVI,MSR,NDI,NDVIRedge,PSRI,CIRedge,MTCI,DAP
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_40,-0.987157775,-0.84740494,1.661576249,-1.092136058,-0.706433175,1.702573863,1.392896233,1.342213071,1.558330151,1.620450229,1.378752328,1.443408684,1.388680192,1.358329921,-1.379841633,1.377890813,1.037820438,40
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_45,-1.307409572,-1.298332205,0.438188673,-1.320061011,-1.123512086,1.125948622,1.309616571,1.30081052,1.149390039,1.19966193,1.265069216,1.329606503,1.248253005,1.3214385,-1.250966534,1.324934808,0.813989371,45
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_55,-0.513435256,-0.223706642,1.864891945,-0.73866029,0.03193804,0.112562086,1.279488765,1.372220946,2.079395318,1.595969827,1.524017614,1.517771605,1.278105022,1.408323612,-1.191736602,1.504397658,1.099204159,55
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_62,-0.164900783,0.127380881,1.829556947,-0.810124838,0.17174887,0.768916846,1.110436816,1.081975874,1.601626522,1.23899387,1.025909912,1.387046731,1.025392672,1.152849187,-1.160488298,1.162904845,0.89209645,62
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_68,-0.17647874,-0.039513513,2.296998633,-0.653976991,-0.047693313,0.288308439,0.981855342,0.922278335,1.718345472,1.209181932,0.899902411,1.25973946,1.003764949,1.072457463,-1.245452227,1.112291518,0.909602233,68
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_74,0.139039654,0.290419375,1.560063611,-0.319333739,0.530191048,0.314347555,0.884731287,0.977763744,1.474059133,1.088768313,1.015117114,1.04344793,0.788557672,1.028988825,-0.901861001,1.060986479,0.866795203,74
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,7096_2022_91,-0.063959644,-0.310552625,0.737162085,-0.381417341,-0.197961538,0.105793265,0.564525316,0.689056625,0.751420632,0.643647622,0.530517509,0.508506845,0.365665375,0.606531641,-0.591336954,0.513084736,0.464452359,91
7308_2022,2022,A415-1-3INBRED,7308,L,Mixed,7308_2022_12,0.156456828,0.065124663,-0.551783167,-0.162241162,-0.52207626,,-0.845689612,-1.037623108,-1.041224786,-0.9309491,-1.035463333,-0.847187135,-1.336375362,0.120901608,0.108561497,0.115565477,1.20357013,12
7308_2022,2022,A415-1-3INBRED,7308,L,Mixed,7308_2022_33,0.694151012,0.712792092,0.630816568,0.514232918,0.466223247,-0.12902507,-0.224048421,-0.415594244,-0.015896968,0.071625339,-0.489323941,-0.275200248,-0.52207615,0.061142288,0.237241891,0.019852836,0.804674851,33
7308_2022,2022,A415-1-3INBRED,7308,L,Mixed,7308_2022_40,0.21088719,0.126439014,-0.617002856,0.02235466,-0.127385867,-0.212688316,-0.205340604,-0.362160494,-0.273115667,-0.3511262,-0.456558051,-0.277124385,-0.272376102,-0.181115241,-0.058731545,-0.23291068,-0.107708063,40
